ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
8HWdbI7wwto,30/05/2026,https://www.youtube.com/watch?v=8HWdbI7wwto,Tratamento de primeira linha em câncer não pequenas células ALK+ | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
_OBuFDyoXVg,29/05/2026,https://www.youtube.com/watch?v=_OBuFDyoXVg,Destaques da ASCO 2026: os tratamentos que prometem mudar a prática clínica | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
jvZnQRAwPZY,29/05/2026,https://www.youtube.com/watch?v=jvZnQRAwPZY,Bioimpedância e qualidade muscular na saúde do paciente oncológico | Einstein na ASCO 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
77f03lknak4,29/05/2026,https://www.youtube.com/watch?v=77f03lknak4,Novos tratamentos para tumores gastrointestinais e mais estudos promissores | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
m5rx7a3kQnc,29/05/2026,https://www.youtube.com/watch?v=m5rx7a3kQnc,Nova imunoterapia para linfoma difuso de grandes células B | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
2UDHnZIWaOo,29/05/2026,https://www.youtube.com/watch?v=2UDHnZIWaOo,Nova medicação para linfomas de estágio 1 | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
2TUvXfD36UI,29/05/2026,https://www.youtube.com/watch?v=2TUvXfD36UI,Nova imunoterapia pré-operatória ​em pacientes com câncer de pulmão | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
5n2HfFCI4So,26/05/2026,https://www.youtube.com/watch?v=5n2HfFCI4So,Sexo depois dos 50: como a menopausa impacta a libido e o prazer? | EP10T3,Videos,,einstein_Parte_3,Sucesso,2026-06-23
yQ16P7KNWbk,25/05/2026,https://www.youtube.com/watch?v=yQ16P7KNWbk,O que ninguém te conta sobre a faculdade de Enfermagem,Videos,,einstein_Parte_4,Sucesso,2026-06-23
5_Qghb-WDrw,19/05/2026,https://www.youtube.com/watch?v=5_Qghb-WDrw,"Névoa mental, memória e Alzheimer após os 50: quando o esquecimento é preocupante? | EP9T3",Videos,,einstein_Parte_4,Sucesso,2026-06-23
d2pSLGp0tos,15/05/2026,https://www.youtube.com/watch?v=d2pSLGp0tos,"Einstein em Goiânia. Do cuidado simples ao complexo, um hospital todo seu",Videos,,einstein_Parte_4,Sucesso,2026-06-23
mAhRuxmN7GQ,14/05/2026,https://www.youtube.com/watch?v=mAhRuxmN7GQ,Missão Humanitária São Gabriel da Cachoeira,Videos,,einstein_Parte_4,Sucesso,2026-06-23
DZpgvHmRaLk,13/05/2026,https://www.youtube.com/watch?v=DZpgvHmRaLk,Práticas e Ensaios Clínicios de Terapias Avançadas | Embrapii,Videos,,einstein_Parte_4,Sucesso,2026-06-23
1GpffImuXIg,12/05/2026,https://www.youtube.com/watch?v=1GpffImuXIg,Exercícios físicos e menopausa: como envelhecer com força e autonomia? | EP8T3,Videos,,einstein_Parte_4,Sucesso,2026-06-23
hb2hf234t64,12/05/2026,https://www.youtube.com/watch?v=hb2hf234t64,Dia Internacional da Enfermagem | Einstein 2026,Videos,,einstein_Parte_4,Sucesso,2026-06-23
